Rk,Player,Pos,Tm,Cap Hit
,Shamar Stephen\StepSh00,DT,MIN,$1797000
,Russell Bodine\BodiRu00,OG,CIN,$1797000
,Anthony Hitchens\HitcAn00,OLB,DAL,$1797000
,Justin Ellis\ElliJu01,DT,OAK,$1797000
,Aaron Colvin\ColvAa00,CB,JAX,$1797000
,Damien Williams\WillDa05,RB,MIA,$1797000
,Chris Hubbard\HubbCh00,G,PIT,$1797000
,Michael Thomas\ThomMi02,S,MIA,$1797000
,DaQuan Jones\JoneDa04,DT,TEN,$1797000
,Kerry Wynn\WynnKe00,DE,NYG,$1797000
,Ryan Jensen\JensRy00,T,BAL,$1797000
,Cameron Fleming\FlemCa00,OT,NWE,$1797000
,Terrance West\WestTe00,RB,BAL,$1797000
,Charles Leno\LenoCh00,OG,CHI,$1797000
,Bashaud Breeland\BreeBa00,CB,WAS,$1797000
,Aaron Lynch\LyncAa00,DE,SFO,$1797000
,T.J. Carrie\CarrTr00,CB,OAK,$1797000
,Denico Autry\AutrDe00,DE,OAK,$1797000
,Andre Hal\HalxAn00,CB,HOU,$1797000
,Corey Linsley\LinsCo00,C,GNB,$1797000
,Nevin Lawson\LawsNe00,CB,DET,$1797000
,Telvin Smith\SmitTe01,ILB,JAX,$1797000
,Maurice Alexander\AlexMa00,SS,LAR,$1797000
,Michael Schofield\SchoMi00,OT,LAC,$1797000
,Albert Wilson\WilsAl02,WR,KAN,$1797000
,Devon Kennard\KennDe00,OLB,NYG,$1797000
,William Compton\CompWi00,LB,WAS,$1797000
,E.J. Gaines\GainE.00,CB,BUF,$1797000
,Korey Toomer\ToomKo00,ILB,LAC,$1797000
,Donte Moncrief\MoncDo00,WR,IND,$1797000
397,Zach Fulton\FultZa00,OG,KAN,$1788500
398,Richard Rodgers\RodgRi00,TE,GNB,$1787000
,Spencer Long\LongSp00,OG,WAS,$1787000
400,Travis Swanson\SwanTr00,C,DET,$1772000
401,Preston Brown\BrowPr00,ILB,BUF,$1762000
402,Joe Hawley\HawlJo20,G,TAM,$1750000
,Allen Barbre\BarbAl20,T,DEN,$1750000
,Niles Paul\PaulNi00,WR,WAS,$1750000
,Matt Moore\MoorMa01,QB,MIA,$1750000
,Matt Cassel\CassMa00,QB,TEN,$1750000
,Scott Tolzien\TolzSc00,QB,IND,$1750000
,Ryan Fitzpatrick\FitzRy00,QB,TAM,$1750000
,Alan Branch\BranAl99,DT,NWE,$1750000
410,Ereck Flowers\FlowEr00,OT,NYG,$1743338
411,Kyle Fuller\FullKy00,CB,CHI,$1740955
412,Jared Goff\GoffJa00,QB,LAR,$1719894
413,Ryan Shazier\ShazRy00,OLB,PIT,$1716438
414,Zach Strief\StriZa20,G,NOR,$1700000
,Larry Warford\WarfLa00,OG,NOR,$1700000
,A.J. Klein\KleiAJ00,ILB,NOR,$1700000
,Ryan Hewitt\HewiRy00,FB,CIN,$1700000
,Luke Stocker\StocLu00,TE,2TM,$1700000
,Max Unger\UngeMa20,C,NOR,$1700000
420,Todd Gurley\GurlTo01,RB,LAR,$1691653
421,Carson Wentz\WentCa00,QB,PHI,$1662561
422,Earl Mitchell\MitcEa99,DT,SFO,$1650000
,Josh Hill\HillJo02,TE,NOR,$1650000
,Britton Colquitt\ColqBr00,P,CLE,$1650000
425,Zack Martin\MartZa00,OT,DAL,$1642882
426,C.J. Mosley\MoslC.00,ILB,BAL,$1618365
427,Trae Waynes\WaynTr00,CB,MIN,$1611761
428,Giovani Bernard\BernGi00,RB,CIN,$1600000
,Steven Hauschka\HausSt00,K,BUF,$1600000
430,Eric Ebron\EbroEr00,TE,DET,$1590337
431,Calvin Pryor\PryoCa00,FS,JAX,$1587716
432,Ezekiel Elliott\ElliEz00,RB,DAL,$1584379
433,Ja'Wuan James\JameJa01,OT,MIA,$1569327
